service,request_rate_rps,error_rate_pct,p50_latency_ms,p95_latency_ms,p99_latency_ms,cpu_usage_pct,memory_usage_mb,delta_rps,delta_p95_latency_ms,delta_cpu_usage_pct,sla_violated,pattern
5,0.0,0.0,0.0,0.0,0.0,0.163636,296.266,0.0,0.0,0.0,0,constant
1,0.0,0.0,0.0,0.0,0.0,0.163636,326.223,0.0,0.0,0.0,0,constant
0,0.872727,0.0,2.5,4.75,4.95,0.109091,17.062,0.0,0.0,0.0,0,constant
2,0.654545,0.0,2.5,4.75,4.95,0.9135,80.544,0.0,0.0,0.0,0,constant
3,0.0,0.0,0.0,0.0,0.0,0.2,316.195,0.0,0.0,0.0,0,constant
6,0.872727,0.0,2.5,4.75,4.95,0.181818,19.512,0.0,0.0,0.0,0,constant
4,0.854545,0.0,2.5,4.75,4.95,0.109091,15.586,0.0,0.0,0.0,0,constant
5,0.0,0.0,0.0,0.0,0.0,0.181818,296.266,0.0,0.0,0.018182,0,constant
1,0.0,0.0,0.0,0.0,0.0,0.163636,326.223,0.0,0.0,-0.0,0,constant
0,0.872727,0.0,2.5,4.75,4.95,0.109091,17.062,0.0,0.0,0.0,0,constant
2,0.654545,0.0,2.5,4.75,4.95,0.605015,81.02,0.0,0.0,-0.308485,1,constant
3,0.0,0.0,0.0,0.0,0.0,0.2,316.195,0.0,0.0,0.0,1,constant
6,0.872727,0.0,2.5,4.75,4.95,0.181818,19.512,0.0,0.0,0.0,0,constant
4,0.854545,0.0,2.5,4.75,4.95,0.109091,15.586,0.0,0.0,0.0,0,constant
5,0.0,0.0,0.0,0.0,0.0,0.2,296.266,0.0,0.0,0.018182,0,constant
1,0.0,0.0,0.0,0.0,0.0,0.181818,326.223,0.0,0.0,0.018182,0,constant
0,0.872727,0.0,2.5,4.75,4.95,0.109091,17.062,0.0,0.0,0.0,0,constant
2,0.654545,0.0,2.5,4.75,4.95,0.606242,82.043,0.0,0.0,0.001227,1,constant
3,0.0,0.0,0.0,0.0,0.0,0.2,316.195,0.0,0.0,0.0,1,constant
6,0.872727,0.0,2.5,4.75,4.95,0.181818,19.512,0.0,0.0,0.0,0,constant
4,0.854545,0.0,2.5,4.75,4.95,0.127273,15.586,0.0,0.0,0.018182,0,constant
5,0.090909,0.0,2.5,4.75,4.95,0.181818,296.266,0.090909,0.0,-0.018182,0,constant
1,2.072727,0.0,4.385,21.114,24.223,0.963636,326.227,2.072727,0.0,0.781818,0,constant
0,2.036364,0.0,2.551,4.846,7.483,0.290909,17.188,1.163636,0.096,0.181818,0,constant
2,7.454545,0.243902,4.617,83.036,194.091,1.821236,86.777,6.8,78.286,1.214995,1,constant
3,0.109091,0.0,21.25,71.25,74.0,0.545455,316.207,0.109091,0.0,0.345455,1,constant
6,2.981818,0.0,2.579,4.885,8.19,0.509091,20.012,2.109091,0.135,0.327273,0,constant
4,1.072727,0.0,2.5,4.75,4.95,0.145455,15.586,0.218182,0.0,0.018182,0,constant
5,0.381818,0.0,2.5,4.75,4.95,0.218182,296.266,0.290909,0.0,0.036364,0,constant
1,4.745455,0.0,5.812,22.034,24.407,2.018182,326.227,2.672727,0.92,1.054545,0,constant
0,6.472727,0.0,2.519,4.786,4.988,0.727273,17.438,4.436364,-0.06,0.436364,0,constant
2,22.072727,0.082372,4.221,46.385,109.923,5.645533,89.924,14.618182,-36.651,3.824296,0,constant
3,0.4,0.0,18.25,60.625,72.125,0.872727,316.207,0.290909,-10.625,0.327273,0,constant
6,6.036364,0.0,2.538,4.822,6.63,0.836364,20.262,3.054545,-0.063,0.327273,0,constant
4,1.563636,0.0,2.5,4.75,4.95,0.145455,15.586,0.490909,-0.0,0.0,0,constant
5,0.581818,0.0,2.5,4.75,4.95,0.218182,296.266,0.2,0.0,0.0,0,constant
