timestamp,service,request_rate_rps,error_rate_pct,p50_latency_ms,p95_latency_ms,p99_latency_ms,cpu_usage_pct,memory_usage_mb,delta_rps,delta_p95_latency_ms,delta_cpu_usage_pct,sla_violated
2026-04-03T15:18:03.965605+00:00,carts,0.0,0.0,nan,nan,nan,0.181835,318.375,0.0,0.0,0.0,0
2026-04-03T15:18:03.965605+00:00,user,0.200015,0.0,2.5,4.75,4.95,0.072733,18.07,0.0,0.0,0.0,0
2026-04-03T15:18:03.965605+00:00,front-end,0.0,0.0,nan,nan,nan,0.056281,48.042,0.0,0.0,0.0,1
2026-04-03T15:18:03.965605+00:00,payment,0.200015,0.0,2.5,4.75,4.95,0.054549,15.164,0.0,0.0,0.0,0
2026-04-03T15:18:03.965605+00:00,catalogue,0.200018,0.0,2.5,4.75,4.95,0.036367,15.707,0.0,0.0,0.0,0
2026-04-03T15:18:03.965605+00:00,shipping,0.0,0.0,nan,nan,nan,0.109101,301.59,0.0,0.0,0.0,0
2026-04-03T15:18:03.965605+00:00,orders,0.0,0.0,nan,nan,nan,0.309113,325.191,0.0,0.0,0.0,0
2026-04-03T15:18:33.968102+00:00,carts,0.763706,0.0,2.5,4.75,4.95,0.345486,318.375,0.763706,nan,0.163651,0
2026-04-03T15:18:33.968102+00:00,user,0.945558,0.0,2.5,4.75,4.95,0.090919,18.445,0.745543,0.0,0.018186,0
2026-04-03T15:18:33.968102+00:00,front-end,3.600393,0.0,3.153,14.731,23.869,0.411959,52.128,3.600393,nan,0.355678,1
2026-04-03T15:18:33.968102+00:00,payment,0.309119,0.0,2.5,4.75,4.95,0.05455,15.164,0.109104,0.0,1e-06,0
2026-04-03T15:18:33.968102+00:00,catalogue,1.091008,0.0,2.5,4.75,4.95,0.090917,15.957,0.89099,-0.0,0.05455,0
2026-04-03T15:18:33.968102+00:00,shipping,0.036368,0.0,2.5,4.75,4.95,0.109103,301.59,0.036368,nan,2e-06,0
2026-04-03T15:18:33.968102+00:00,orders,0.036368,0.0,7.5,9.75,9.95,0.327291,325.316,0.036368,nan,0.018177,1
2026-04-03T15:19:03.968061+00:00,carts,1.727398,0.0,2.61,4.959,8.812,0.454579,318.375,0.963693,0.209,0.109093,0
2026-04-03T15:19:03.968061+00:00,user,2.20016,0.0,2.5,4.75,4.95,0.181831,18.57,1.254602,0.0,0.090912,0
2026-04-03T15:19:03.968061+00:00,front-end,10.07346,0.0,3.037,9.882,22.276,1.230168,58.346,6.473067,-4.849,0.818208,0
2026-04-03T15:19:03.968061+00:00,payment,0.454587,0.0,2.5,4.75,4.95,0.036367,15.164,0.145468,0.0,-0.018183,0
2026-04-03T15:19:03.968061+00:00,catalogue,2.854753,0.0,2.5,4.75,4.95,0.200015,16.082,1.763745,0.0,0.109097,0
2026-04-03T15:19:03.968061+00:00,shipping,0.145468,0.0,2.5,4.75,4.95,0.127284,301.59,0.1091,0.0,0.018181,0
2026-04-03T15:19:03.968061+00:00,orders,0.145468,0.0,7.857,19.0,23.65,0.29092,325.316,0.1091,9.25,-0.036371,1
2026-04-03T15:19:33.971238+00:00,carts,3.091134,0.0,2.64,5.312,9.562,0.909157,318.375,1.363736,0.354,0.454579,0
2026-04-03T15:19:33.971238+00:00,user,3.672928,0.0,2.5,4.75,4.95,0.236377,18.57,1.472768,-0.0,0.054545,0
2026-04-03T15:19:33.971238+00:00,front-end,14.746259,0.0,3.044,9.748,22.223,1.774544,54.054,4.672799,-0.134,0.544376,1
2026-04-03T15:19:33.971238+00:00,payment,0.745509,0.0,2.5,4.75,4.95,0.054549,15.164,0.290922,0.0,0.018182,0
2026-04-03T15:19:33.971238+00:00,catalogue,4.345771,0.0,2.5,4.75,4.95,0.272747,16.082,1.491018,0.0,0.072733,0
