timestamp,container_id,container_name,service_name,cpu_percent,memory_usage_bytes,memory_limit_bytes,memory_percent,network_rx_bytes,network_tx_bytes,block_read_bytes,block_write_bytes,pids
2026-02-06T18:17:53.611495,3ef1abcd2ee65b0b9feef5f4bcb67e4a842f5aa9fd40eb9c7f5e2f123d0becbc,phca_telegraf,phca_telegraf,0.23,41638952,8178691473,0.51,2816,252,243269632,239075328,22
2026-02-06T18:17:53.611495,ec56f61c0fb7c0f254f961a77736adf44bdfd9c958b44ceadbfb8ab4ed4d1ac1,phca_grafana,phca_grafana,0.34,94728355,8178691473,1.16,59596,15974,64697139,264192,24
2026-02-06T18:17:53.611495,bc0f1d8340e1a1a1b6587782331acd9c20ca4a5df7652d8a1f01136172e769e9,phca_influxdb,phca_influxdb,0.16,107479040,8178691473,1.31,281600,58265,50751078,150528,29
2026-02-06T18:17:53.611495,b545fb459ea2e789487c3ad565e68b3b09c931ccd3a1722c7bf5d4fd4ec77935,docker-compose-front-end-1,front-end,3.73,108108185,8178691473,1.32,39636172,264241152,30408704,0,21
2026-02-06T18:17:53.611495,c32ce84c916e7d9fd184f7295cf3a9afaf915018bea84387263905cb59899bdc,docker-compose-user-1,user,0.0,4108320,8178691473,0.05,40652,40345,9164554,0,9
2026-02-06T18:17:53.611495,9bef989cb78fc22422269c73085ef35be151cfd167706f4bfc791acdba297f1d,docker-compose-payment-1,payment,0.0,2556428,8178691473,0.03,4628,126,7885291,0,9
2026-02-06T18:17:53.611495,4c28970d63b44411f55715d4324727ec954f39a26a96625fce217ebfa9d4c80d,docker-compose-orders-1,orders,0.13,400975462,8178691473,4.9,62771,40652,21076377,0,74
2026-02-06T18:17:53.611495,39be9bc68ac33568a87f8f70f09f3986cee1f505c62f9d46d0ba402bc791c33a,docker-compose-orders-db-1,orders-db,0.3,33239859,8178691473,0.41,44236,59084,33587,3355443,21
2026-02-06T18:17:53.611495,be68e5e9447492f54ce6f4cecae0b9d952c5bb0a61ff95b554544584ca3f4aca,docker-compose-carts-1,carts,0.79,379165081,8178691473,4.64,10443816,7717519,24536678,0,84
2026-02-06T18:17:53.611495,3df37632fdc594470b9b25afa3f4aa70b4829f09124d8f41602ad9fb271bddb7,docker-compose-carts-db-1,carts-db,0.53,59097743,8178691473,0.72,5987368,8860467,43096473,14365491,25
2026-02-06T18:17:53.611495,d6adfaec05cbd4466afd009bc142cdeab31bf7dd4fbcd919dd7568fd51aef75f,docker-compose-catalogue-1,catalogue,0.37,7729053,8178691473,0.09,21076377,23802675,10265559,0,30
2026-02-06T18:17:53.611495,a5d2bee63cfae605ee510898b9b7f36867ddef3fbde20989cca651bc7ae7a16b,docker-compose-edge-router-1,edge-router,2.39,11817451,8178691473,0.14,274726912,275775488,14470348,0,32
2026-02-06T18:17:53.611495,160abf705cda7d7dbd852997bd7163090a79d863e1c0513270d835eb59460415,docker-compose-catalogue-db-1,catalogue-db,0.31,225234124,8178691473,2.75,3124756,17825792,36490444,308281344,32
2026-02-06T18:17:53.611495,46416a29c418c29a010b90f73fad94e6fe5f0b725210ecad5ed2dd17a7388348,docker-compose-rabbitmq-1,rabbitmq,5.23,117125939,8178691473,1.43,15974,11366,30513561,452608,417
2026-02-06T18:17:53.611495,10aac0766ca57b9403c0de19520aa15fc250e2c58f91079d15caf44093d8fa1a,docker-compose-user-db-1,user-db,0.43,35022438,8178691473,0.43,44032,36454,36175872,2789212,18
2026-02-06T18:17:53.611495,e54edb9d6067c97b477a91ed67ed31880811d7f6aea40fdf30aa1dc8ba63fbe0,docker-compose-shipping-1,shipping,0.12,392272281,8178691473,4.8,4239,126,38482739,0,72
2026-02-06T18:17:53.611495,c24f4f30e07ab4c5127c5c0403e4d3b5605fc1810a7b1d28e43e1a58c31811ae,docker-compose-queue-master-1,queue-master,0.14,716701696,8178691473,8.76,15155,11878,27996979,0,51
2026-02-06T18:18:01.241071,3ef1abcd2ee65b0b9feef5f4bcb67e4a842f5aa9fd40eb9c7f5e2f123d0becbc,phca_telegraf,phca_telegraf,0.07,41638952,8178691473,0.51,2816,252,243269632,239075328,22
