timestamp,service_name,cpu_cores,memory_bytes,cpu_millicores,memory_mb,memory_gb
2026-02-07T16:35:50.272089,carts,0.003,362807296,3,346,0.337890625
2026-02-07T16:35:50.272089,carts,0.009,174063616,9,166,0.162109375
2026-02-07T16:35:50.272089,catalogue,0.001,16777216,1,16,0.015625
2026-02-07T16:35:50.272089,catalogue,0.001,236978176,1,226,0.220703125
2026-02-07T16:35:50.272089,front,0.003,87031808,3,83,0.0810546875
2026-02-07T16:35:50.272089,orders,0.005,389021696,5,371,0.3623046875
2026-02-07T16:35:50.272089,orders,0.009,153092096,9,146,0.142578125
2026-02-07T16:35:50.272089,payment,0.001,15728640,1,15,0.0146484375
2026-02-07T16:35:50.272089,queue,0.003,319815680,3,305,0.2978515625
2026-02-07T16:35:50.272089,rabbitmq,0.078,150994944,78,144,0.140625
2026-02-07T16:35:50.272089,session,0.003,18874368,3,18,0.017578125
2026-02-07T16:35:50.272089,shipping,0.003,351272960,3,335,0.3271484375
2026-02-07T16:35:50.272089,user,0.002,15728640,2,15,0.0146484375
2026-02-07T16:35:50.272089,user,0.007,56623104,7,54,0.052734375
2026-02-07T16:36:00.382793,carts,0.004,362807296,4,346,0.337890625
2026-02-07T16:36:00.382793,carts,0.008,174063616,8,166,0.162109375
2026-02-07T16:36:00.382793,catalogue,0.001,16777216,1,16,0.015625
2026-02-07T16:36:00.382793,catalogue,0.001,236978176,1,226,0.220703125
2026-02-07T16:36:00.382793,front,0.003,78643200,3,75,0.0732421875
2026-02-07T16:36:00.382793,orders,0.003,389021696,3,371,0.3623046875
2026-02-07T16:36:00.382793,orders,0.009,153092096,9,146,0.142578125
2026-02-07T16:36:00.382793,payment,0.001,15728640,1,15,0.0146484375
2026-02-07T16:36:00.382793,queue,0.003,319815680,3,305,0.2978515625
2026-02-07T16:36:00.382793,rabbitmq,0.072,150994944,72,144,0.140625
2026-02-07T16:36:00.382793,session,0.003,18874368,3,18,0.017578125
2026-02-07T16:36:00.382793,shipping,0.002,351272960,2,335,0.3271484375
2026-02-07T16:36:00.382793,user,0.002,15728640,2,15,0.0146484375
2026-02-07T16:36:00.382793,user,0.007,56623104,7,54,0.052734375
2026-02-07T16:36:10.466883,carts,0.004,362807296,4,346,0.337890625
2026-02-07T16:36:10.466883,carts,0.008,174063616,8,166,0.162109375
2026-02-07T16:36:10.466883,catalogue,0.001,16777216,1,16,0.015625
2026-02-07T16:36:10.466883,catalogue,0.001,236978176,1,226,0.220703125
2026-02-07T16:36:10.466883,front,0.003,78643200,3,75,0.0732421875
2026-02-07T16:36:10.466883,orders,0.003,389021696,3,371,0.3623046875
2026-02-07T16:36:10.466883,orders,0.009,153092096,9,146,0.142578125
2026-02-07T16:36:10.466883,payment,0.001,15728640,1,15,0.0146484375
2026-02-07T16:36:10.466883,queue,0.003,319815680,3,305,0.2978515625
2026-02-07T16:36:10.466883,rabbitmq,0.072,150994944,72,144,0.140625
2026-02-07T16:36:10.466883,session,0.003,18874368,3,18,0.017578125
2026-02-07T16:36:10.466883,shipping,0.002,351272960,2,335,0.3271484375
2026-02-07T16:36:10.466883,user,0.002,15728640,2,15,0.0146484375
2026-02-07T16:36:10.466883,user,0.007,56623104,7,54,0.052734375
2026-02-07T16:36:20.557739,carts,0.004,362807296,4,346,0.337890625
2026-02-07T16:36:20.557739,carts,0.008,174063616,8,166,0.162109375
2026-02-07T16:36:20.557739,catalogue,0.001,16777216,1,16,0.015625
2026-02-07T16:36:20.557739,catalogue,0.001,236978176,1,226,0.220703125
2026-02-07T16:36:20.557739,front,0.003,78643200,3,75,0.0732421875
2026-02-07T16:36:20.557739,orders,0.003,389021696,3,371,0.3623046875
2026-02-07T16:36:20.557739,orders,0.009,153092096,9,146,0.142578125
2026-02-07T16:36:20.557739,payment,0.001,15728640,1,15,0.0146484375
2026-02-07T16:36:20.557739,queue,0.003,319815680,3,305,0.2978515625
2026-02-07T16:36:20.557739,rabbitmq,0.072,150994944,72,144,0.140625
2026-02-07T16:36:20.557739,session,0.003,18874368,3,18,0.017578125
2026-02-07T16:36:20.557739,shipping,0.002,351272960,2,335,0.3271484375
2026-02-07T16:36:20.557739,user,0.002,15728640,2,15,0.0146484375
2026-02-07T16:36:20.557739,user,0.007,56623104,7,54,0.052734375
2026-02-07T16:36:30.646331,carts,0.004,362807296,4,346,0.337890625
2026-02-07T16:36:30.646331,carts,0.008,174063616,8,166,0.162109375
2026-02-07T16:36:30.646331,catalogue,0.001,16777216,1,16,0.015625
2026-02-07T16:36:30.646331,catalogue,0.001,236978176,1,226,0.220703125
2026-02-07T16:36:30.646331,front,0.003,78643200,3,75,0.0732421875
2026-02-07T16:36:30.646331,orders,0.003,389021696,3,371,0.3623046875
2026-02-07T16:36:30.646331,orders,0.009,153092096,9,146,0.142578125
2026-02-07T16:36:30.646331,payment,0.001,15728640,1,15,0.0146484375
2026-02-07T16:36:30.646331,queue,0.003,319815680,3,305,0.2978515625
2026-02-07T16:36:30.646331,rabbitmq,0.072,150994944,72,144,0.140625
2026-02-07T16:36:30.646331,session,0.003,18874368,3,18,0.017578125
2026-02-07T16:36:30.646331,shipping,0.002,351272960,2,335,0.3271484375
2026-02-07T16:36:30.646331,user,0.002,15728640,2,15,0.0146484375
2026-02-07T16:36:30.646331,user,0.007,56623104,7,54,0.052734375
2026-02-07T16:36:40.735968,carts,0.004,362807296,4,346,0.337890625
2026-02-07T16:36:40.735968,carts,0.008,174063616,8,166,0.162109375
2026-02-07T16:36:40.735968,catalogue,0.001,16777216,1,16,0.015625
2026-02-07T16:36:40.735968,catalogue,0.001,236978176,1,226,0.220703125
2026-02-07T16:36:40.735968,front,0.003,78643200,3,75,0.0732421875
2026-02-07T16:36:40.735968,orders,0.003,389021696,3,371,0.3623046875
2026-02-07T16:36:40.735968,orders,0.009,153092096,9,146,0.142578125
2026-02-07T16:36:40.735968,payment,0.001,15728640,1,15,0.0146484375
2026-02-07T16:36:40.735968,queue,0.003,319815680,3,305,0.2978515625
2026-02-07T16:36:40.735968,rabbitmq,0.072,150994944,72,144,0.140625
2026-02-07T16:36:40.735968,session,0.003,18874368,3,18,0.017578125
2026-02-07T16:36:40.735968,shipping,0.002,351272960,2,335,0.3271484375
2026-02-07T16:36:40.735968,user,0.002,15728640,2,15,0.0146484375
2026-02-07T16:36:40.735968,user,0.007,56623104,7,54,0.052734375
2026-02-07T16:36:50.859792,carts,0.004,362807296,4,346,0.337890625
2026-02-07T16:36:50.859792,carts,0.008,174063616,8,166,0.162109375
2026-02-07T16:36:50.859792,catalogue,0.001,16777216,1,16,0.015625
2026-02-07T16:36:50.859792,catalogue,0.001,236978176,1,226,0.220703125
2026-02-07T16:36:50.859792,front,0.003,78643200,3,75,0.0732421875
2026-02-07T16:36:50.859792,orders,0.003,389021696,3,371,0.3623046875
2026-02-07T16:36:50.859792,orders,0.009,153092096,9,146,0.142578125
2026-02-07T16:36:50.859792,payment,0.001,15728640,1,15,0.0146484375
2026-02-07T16:36:50.859792,queue,0.003,319815680,3,305,0.2978515625
2026-02-07T16:36:50.859792,rabbitmq,0.072,150994944,72,144,0.140625
2026-02-07T16:36:50.859792,session,0.003,18874368,3,18,0.017578125
2026-02-07T16:36:50.859792,shipping,0.002,351272960,2,335,0.3271484375
2026-02-07T16:36:50.859792,user,0.002,15728640,2,15,0.0146484375
2026-02-07T16:36:50.859792,user,0.007,56623104,7,54,0.052734375
2026-02-07T16:37:00.935398,carts,0.002,362807296,2,346,0.337890625
2026-02-07T16:37:00.935398,carts,0.009,174063616,9,166,0.162109375
2026-02-07T16:37:00.935398,catalogue,0.001,16777216,1,16,0.015625
2026-02-07T16:37:00.935398,catalogue,0.001,236978176,1,226,0.220703125
2026-02-07T16:37:00.935398,front,0.003,79691776,3,76,0.07421875
2026-02-07T16:37:00.935398,orders,0.003,389021696,3,371,0.3623046875
2026-02-07T16:37:00.935398,orders,0.009,153092096,9,146,0.142578125
2026-02-07T16:37:00.935398,payment,0.001,15728640,1,15,0.0146484375
2026-02-07T16:37:00.935398,queue,0.005,319815680,5,305,0.2978515625
2026-02-07T16:37:00.935398,rabbitmq,0.085,150994944,85,144,0.140625
2026-02-07T16:37:00.935398,session,0.003,18874368,3,18,0.017578125
2026-02-07T16:37:00.935398,shipping,0.003,351272960,3,335,0.3271484375
2026-02-07T16:37:00.935398,user,0.002,15728640,2,15,0.0146484375
2026-02-07T16:37:00.935398,user,0.007,56623104,7,54,0.052734375
2026-02-07T16:37:11.040774,carts,0.002,362807296,2,346,0.337890625
2026-02-07T16:37:11.040774,carts,0.009,174063616,9,166,0.162109375
2026-02-07T16:37:11.040774,catalogue,0.001,16777216,1,16,0.015625
2026-02-07T16:37:11.040774,catalogue,0.001,236978176,1,226,0.220703125
2026-02-07T16:37:11.040774,front,0.003,79691776,3,76,0.07421875
2026-02-07T16:37:11.040774,orders,0.003,389021696,3,371,0.3623046875
2026-02-07T16:37:11.040774,orders,0.009,153092096,9,146,0.142578125
2026-02-07T16:37:11.040774,payment,0.001,15728640,1,15,0.0146484375
2026-02-07T16:37:11.040774,queue,0.005,319815680,5,305,0.2978515625
2026-02-07T16:37:11.040774,rabbitmq,0.085,150994944,85,144,0.140625
2026-02-07T16:37:11.040774,session,0.003,18874368,3,18,0.017578125
2026-02-07T16:37:11.040774,shipping,0.003,351272960,3,335,0.3271484375
2026-02-07T16:37:11.040774,user,0.002,15728640,2,15,0.0146484375
2026-02-07T16:37:11.040774,user,0.007,56623104,7,54,0.052734375
2026-02-07T16:37:21.131083,carts,0.002,362807296,2,346,0.337890625
2026-02-07T16:37:21.131083,carts,0.009,174063616,9,166,0.162109375
2026-02-07T16:37:21.131083,catalogue,0.001,16777216,1,16,0.015625
2026-02-07T16:37:21.131083,catalogue,0.001,236978176,1,226,0.220703125
2026-02-07T16:37:21.131083,front,0.003,79691776,3,76,0.07421875
2026-02-07T16:37:21.131083,orders,0.003,389021696,3,371,0.3623046875
2026-02-07T16:37:21.131083,orders,0.009,153092096,9,146,0.142578125
2026-02-07T16:37:21.131083,payment,0.001,15728640,1,15,0.0146484375
2026-02-07T16:37:21.131083,queue,0.005,319815680,5,305,0.2978515625
2026-02-07T16:37:21.131083,rabbitmq,0.085,150994944,85,144,0.140625
2026-02-07T16:37:21.131083,session,0.003,18874368,3,18,0.017578125
2026-02-07T16:37:21.131083,shipping,0.003,351272960,3,335,0.3271484375
2026-02-07T16:37:21.131083,user,0.002,15728640,2,15,0.0146484375
2026-02-07T16:37:21.131083,user,0.007,56623104,7,54,0.052734375
2026-02-07T16:37:31.240596,carts,0.002,362807296,2,346,0.337890625
